,donor_id,site_id,cell_class,annotation_coarse,count
13203,AT10,AT10-BRA-5-FO-1,Proliferative,Proliferative,641
13212,AT10,AT10-BRA-5-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,3441
13213,AT10,AT10-BRA-5-FO-2,AC-gliosis-hypoxia,Hypoxic,2274
13214,AT10,AT10-BRA-5-FO-2,AC-gliosis-hypoxia,Gliosis-like,757
13215,AT10,AT10-BRA-5-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,126
13221,AT10,AT10-BRA-5-FO-2,NPC-OPC-like,OPC-like,5252
13222,AT10,AT10-BRA-5-FO-2,NPC-OPC-like,OPC-NPC-like,1817
13223,AT10,AT10-BRA-5-FO-2,NPC-OPC-like,OPC-neuronal-like,42
13230,AT10,AT10-BRA-5-FO-2,NPC-neuronal-like,NPC-neuronal-like,1112
13239,AT10,AT10-BRA-5-FO-2,Proliferative,Proliferative,574
13248,AT10,AT10-BRA-5-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,692
13249,AT10,AT10-BRA-5-FO-3,AC-gliosis-hypoxia,Hypoxic,453
13250,AT10,AT10-BRA-5-FO-3,AC-gliosis-hypoxia,Gliosis-like,88
13251,AT10,AT10-BRA-5-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,74
13257,AT10,AT10-BRA-5-FO-3,NPC-OPC-like,OPC-NPC-like,1323
13258,AT10,AT10-BRA-5-FO-3,NPC-OPC-like,OPC-neuronal-like,621
13259,AT10,AT10-BRA-5-FO-3,NPC-OPC-like,OPC-like,465
13266,AT10,AT10-BRA-5-FO-3,NPC-neuronal-like,NPC-neuronal-like,176
13275,AT10,AT10-BRA-5-FO-3,Proliferative,Proliferative,160
13284,AT10,AT10-BRA-5-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,5083
13285,AT10,AT10-BRA-5-FO-4,AC-gliosis-hypoxia,Hypoxic,730
13286,AT10,AT10-BRA-5-FO-4,AC-gliosis-hypoxia,Gliosis-like,312
13287,AT10,AT10-BRA-5-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,36
13293,AT10,AT10-BRA-5-FO-4,NPC-OPC-like,OPC-NPC-like,4973
13294,AT10,AT10-BRA-5-FO-4,NPC-OPC-like,OPC-like,346
13295,AT10,AT10-BRA-5-FO-4,NPC-OPC-like,OPC-neuronal-like,3
13302,AT10,AT10-BRA-5-FO-4,NPC-neuronal-like,NPC-neuronal-like,376
13311,AT10,AT10-BRA-5-FO-4,Proliferative,Proliferative,375
15372,AT11,AT11-BRA-6-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,1601
15373,AT11,AT11-BRA-6-FO-1,AC-gliosis-hypoxia,Hypoxic,195
15374,AT11,AT11-BRA-6-FO-1,AC-gliosis-hypoxia,Gliosis-like,58
15375,AT11,AT11-BRA-6-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,54
15381,AT11,AT11-BRA-6-FO-1,NPC-OPC-like,OPC-NPC-like,8815
15382,AT11,AT11-BRA-6-FO-1,NPC-OPC-like,OPC-like,514
15383,AT11,AT11-BRA-6-FO-1,NPC-OPC-like,OPC-neuronal-like,56
