,annotation_coarse,feature,mean,proportion
177,OPC-like,JAK2,0.24750165078896028,0.25002519331671696
178,OPC-neuronal-like,JAK2,0.0,0.21038380032964446
179,Proliferative,JAK2,0.29593489193587663,0.2946909809558031
180,AC-gliosis-like,VIM,0.9642848009371002,0.633776708185632
181,AC-progenitor-like,VIM,0.7307162489787814,0.5705019343401291
182,Gliosis-like,VIM,0.8039081249399043,0.6601973504879245
183,Hypoxic,VIM,1.0,0.6437719464397593
184,NPC-neuronal-like,VIM,0.0,0.09109892720003167
185,OPC-NPC-like,VIM,0.026525460996925185,0.11326438790281564
186,OPC-like,VIM,0.324287052430835,0.29734160122002834
187,OPC-neuronal-like,VIM,0.13247551079853503,0.20131857781963738
188,Proliferative,VIM,0.46052439122865924,0.4260689902982393
189,AC-gliosis-like,ZEB1,0.8578460659094191,0.7709681615662298
190,AC-progenitor-like,ZEB1,0.6551666131431824,0.7379404040989785
191,Gliosis-like,ZEB1,0.1287410559100445,0.5893801450144469
192,Hypoxic,ZEB1,0.1740708806665525,0.541415936939956
193,NPC-neuronal-like,ZEB1,0.0,0.5077194093662167
194,OPC-NPC-like,ZEB1,1.0,0.7527875950390589
195,OPC-like,ZEB1,0.834085960518891,0.7308681952851548
196,OPC-neuronal-like,ZEB1,0.8718078109130801,0.7203908641393925
197,Proliferative,ZEB1,0.8632557689543533,0.775399748472871
198,AC-gliosis-like,PARD3,1.0,0.6908354743243683
199,AC-progenitor-like,PARD3,0.9742927758246194,0.6939103493409989
200,Gliosis-like,PARD3,0.8514497713084795,0.6580166821130676
201,Hypoxic,PARD3,0.6299995705289603,0.5608235105561464
202,NPC-neuronal-like,PARD3,0.35678373535097596,0.5412394600372115
203,OPC-NPC-like,PARD3,0.4110387818892796,0.5074401074609737
204,OPC-like,PARD3,0.37099291962165276,0.4989150078267237
205,OPC-neuronal-like,PARD3,0.0,0.36561101954320696
206,Proliferative,PARD3,0.8199676454105487,0.6649299317283507
207,AC-gliosis-like,NFKB2,0.4850405817360928,0.016276952096003123
208,AC-progenitor-like,NFKB2,0.4435521167250055,0.015955199522835153
209,Gliosis-like,NFKB2,1.0,0.03609006160388159
210,Hypoxic,NFKB2,0.922972361864925,0.026066178077601154
211,NPC-neuronal-like,NFKB2,0.07040526743549443,0.004710819049127113
212,OPC-NPC-like,NFKB2,0.12192776238560321,0.005777331472763077
213,OPC-like,NFKB2,0.2878738307909191,0.010514010843203515
214,OPC-neuronal-like,NFKB2,0.0,0.0024134683305862964
215,Proliferative,NFKB2,0.721807187285809,0.026320517427236796
216,AC-gliosis-like,RELA,0.22965022324459447,0.05805066831441673
217,AC-progenitor-like,RELA,0.28277788821708294,0.06102076826853777
218,Gliosis-like,RELA,0.7925003201203146,0.11181377092078722
219,Hypoxic,RELA,1.0,0.09696501682863928
220,NPC-neuronal-like,RELA,0.6383585143000748,0.09251415225050473
